Time: 2023-06-14 07:06:06
gender,age,bodyType,profession,pregnant,species,isPet
scenario:flood,Simulation,,,,,,
location:69.9710 N;121.2635 E;trespassing,,,,,,,
human,male,46,athletic,none,false,,
animal,female,5,average,,,koala,false
human,female,95,average,NONE,false,,
human,male,5,overweight,NONE,false,,
location:65.8126 N;149.6203 W;trespassing,,,,,,,
human,female,3,overweight,NONE,false,,
animal,male,10,overweight,,,platypus,false
animal,female,11,average,,,puppy,true
human,female,47,overweight,unemployed,false,,
human,female,26,overweight,student,false,,
location:1.8537 N;97.3748 W;trespassing,,,,,,,
human,male,32,athletic,student,false,,
human,male,28,overweight,doctor,false,,
human,female,54,athletic,homeless,false,,
human,male,4,average,NONE,false,,
location:58.0720 S;128.7000 W;legal,true,,,,,,
human,female,32,average,professor,false,,
human,male,51,average,homeless,false,,
human,female,90,athletic,NONE,false,,
animal,male,13,overweight,,,cat,false
location:47.5166 N;144.4864 E;trespassing,,,,,,,
human,male,20,overweight,homeless,false,,
human,male,66,average,professor,false,,
human,male,86,athletic,NONE,false,,
animal,female,0,athletic,,,lion,false
human,female,92,average,NONE,false,,

Time: 2023-06-14 07:06:06
gender,age,bodyType,profession,pregnant,species,isPet
scenario:flood,Simulation,,,,,,
location:64.3042 S;67.2258 E;legal,,,,,,,
animal,male,8,average,,,platypus,true
location:77.9503 N;165.1085 W;legal,,,,,,,
human,female,71,athletic,NONE,false,,
animal,female,3,athletic,,,wallaby,true
animal,male,13,athletic,,,wallaby,true
location:58.7105 N;110.5722 E;legal,,,,,,,
human,male,8,average,NONE,false,,
animal,female,11,athletic,,,wallaby,false
animal,male,8,overweight,,,wallaby,true
location:72.1964 N;25.5982 W;trespassing,,,,,,,
human,male,72,athletic,NONE,false,,
animal,female,5,athletic,,,koala,false
human,male,73,athletic,NONE,false,,
location:40.2677 N;148.1245 E;trespassing,true,,,,,,
animal,male,3,athletic,,,dog,false
human,male,26,athletic,homeless,false,,
human,male,99,athletic,NONE,false,,
animal,female,8,overweight,,,dingo,true
human,male,69,overweight,NONE,false,,
animal,female,5,overweight,,,puppy,true
human,female,51,average,doctor,false,,

Time: 2023-06-14 07:06:06
gender,age,bodyType,profession,pregnant,species,isPet
scenario:cyclone,Simulation,,,,,,
location:60.9518 N;68.5287 W;legal,,,,,,,
